match_id,old_odd,last_update
Atromitos Athens_OFI Crete_totals_Under_2.5,1.66,2026-01-31 15:46:43.949317
Paris FC_Marseille_h2h_Marseille_0,1.83,2026-01-31 15:46:44.597248
Paris FC_Marseille_h2h_Paris FC_0,4.2,2026-01-31 15:46:45.237386
Paris FC_Marseille_h2h_Draw_0,3.9,2026-01-31 15:46:45.271674
Pescara_Mantova_h2h_Mantova_0,2.75,2026-01-31 15:46:45.279595
Pescara_Mantova_h2h_Pescara_0,2.38,2026-01-31 15:46:45.282639
Pescara_Mantova_h2h_Draw_0,3.25,2026-01-31 15:46:45.326675
Pescara_Mantova_totals_Over_2.5,1.74,2026-01-31 15:46:45.329484
Pescara_Mantova_totals_Under_2.5,1.94,2026-01-31 15:46:45.966761
Widzew Łódź_Jagiellonia Białystok_h2h_Jagiellonia Białystok_0,3.24,2026-01-31 15:46:45.972450
Widzew Łódź_Jagiellonia Białystok_h2h_Widzew Łódź_0,2.21,2026-01-31 15:46:45.975473
Widzew Łódź_Jagiellonia Białystok_h2h_Draw_0,3.59,2026-01-31 15:46:45.978565
Widzew Łódź_Jagiellonia Białystok_totals_Over_2.5,1.83,2026-01-31 15:46:45.981856
Widzew Łódź_Jagiellonia Białystok_totals_Under_2.5,2.04,2026-01-31 15:46:46.636535
Besiktas JK_Torku Konyaspor_h2h_Besiktas JK_0,1.49,2026-01-31 16:58:54.862713
Besiktas JK_Torku Konyaspor_h2h_Torku Konyaspor_0,5.6,2026-01-31 16:58:55.516900
Besiktas JK_Torku Konyaspor_h2h_Draw_0,4.4,2026-01-31 16:58:55.520531
Besiktas JK_Torku Konyaspor_totals_Over_2.5,1.49,2026-01-31 15:46:47.289382
Besiktas JK_Torku Konyaspor_totals_Under_2.5,2.4,2026-01-31 15:46:47.943828
FC Winterthur_FC Lausanne-Sport_h2h_FC Lausanne-Sport_0,1.71,2026-01-31 16:58:56.075542
FC Winterthur_FC Lausanne-Sport_h2h_FC Winterthur_0,4.25,2026-01-31 16:58:56.681144
FC Winterthur_FC Lausanne-Sport_h2h_Draw_0,3.75,2026-01-31 16:58:56.684746
FC Winterthur_FC Lausanne-Sport_totals_Over_3.5,2.28,2026-01-31 16:58:56.688151
FC Winterthur_FC Lausanne-Sport_totals_Under_3.5,1.54,2026-01-31 16:58:56.691496
Servette_FC Sion_h2h_FC Sion_0,3.25,2026-01-31 16:58:58.965373
Servette_FC Sion_h2h_Servette_0,2.08,2026-01-31 16:58:58.969125
Servette_FC Sion_h2h_Draw_0,3.3,2026-01-31 16:58:58.972583
Servette_FC Sion_totals_Over_2.5,1.8,2026-01-31 16:58:58.976021
Servette_FC Sion_totals_Under_2.5,1.85,2026-01-31 16:58:58.979448
Goztepe_Fatih Karagümrük_h2h_Fatih Karagümrük_0,6.5,2026-01-31 16:58:57.237553
Goztepe_Fatih Karagümrük_h2h_Goztepe_0,1.5,2026-01-31 16:58:57.241103
Goztepe_Fatih Karagümrük_h2h_Draw_0,3.9,2026-01-31 16:58:57.772845
Goztepe_Fatih Karagümrük_totals_Over_2.5,1.88,2026-01-31 16:58:57.776391
Goztepe_Fatih Karagümrük_totals_Under_2.5,1.8,2026-01-31 16:58:57.779777
Besiktas JK_Torku Konyaspor_totals_Over_3.5,2.28,2026-01-31 16:58:55.523822
Besiktas JK_Torku Konyaspor_totals_Under_3.5,1.55,2026-01-31 16:58:55.526958
Napoli_Fiorentina_h2h_Fiorentina_0,4.72,2026-01-31 16:58:58.428277
Napoli_Fiorentina_h2h_Napoli_0,1.94,2026-01-31 16:58:58.431594
